"storeId","count doc","month"
569,3546,1
482,1866,2
178,2869,2
515,2044,1
162,3178,2
575,505,1
571,2291,1
209,2446,2
908,1609,2
916,299,2
153,3224,2
184,230,1
242,2545,2
460,1347,2
32,1813,2
17,1051,1
188,163,2
29,2721,2
42,277,2
432,1773,2
16,3268,2
433,71,1
303,6289,1
178,3339,1
309,21,1
27,3427,1
484,301,1
576,171,1
917,2112,2
576,203,2
915,35,1
183,85,2
355,1883,1
182,3994,2
186,176,2
356,4,1
142,3276,2
492,2511,2
119,149,1
569,4391,2
307,25,2
39,325,2
44,3028,2
38,427,2
167,80,2
143,20,1
162,2958,1
242,2265,1
303,6487,2
493,1,1
280,2092,2
26,30,2
15,4257,2
919,91,1
360,1544,1
311,1343,1
31,581,2
20,7826,2
43,1659,2
33,71,1
308,638,2
245,66,2
433,223,2
39,95,1
17,794,2
186,245,1
44,2706,1
32,2083,1
452,1151,1
914,68,1
908,1614,1
307,10,1
35,956,2
520,1154,2
115,23,1
34,774,1
917,1665,1
119,123,2
153,3109,1
82,1621,1
223,34,1
309,103,2
507,106,2
115,161,2
29,2581,1
571,2547,2
907,3745,2
509,158,1
321,1211,2
125,2429,1
570,1087,2
142,3944,1
28,6621,1
580,445,2
174,5084,2
470,4912,1
245,32,1
26,7,1
515,2558,2
244,95,1
344,1241,1
164,87,2
452,1159,2
82,2183,2
507,109,1
579,1516,1
165,130,1
422,2958,1
10,7405,2
209,2158,1
333,1971,1
911,4768,1
102,2875,1
441,2827,1
372,1171,1
184,297,2
21,1643,1
27,2724,2
916,199,1
10,6732,1
93,2853,2
165,122,2
372,1358,2
321,1100,1
143,74,2
344,1241,2
30,5299,1
16,3280,1
919,76,2
311,1545,2
483,51,2
11,2725,1
918,453,2
579,1626,2
572,707,2
483,6,1
918,624,1
360,1451,2
484,216,2
176,396,2
921,1347,1
19,5539,1
308,601,1
22,240,2
920,170,1
333,1848,2
921,1277,2
42,273,1
492,2667,1
915,56,2
38,329,1
35,800,1
570,805,1
163,405,2
334,353,1
102,3320,2
911,5187,2
295,1489,1
920,225,2
422,2736,2
163,319,1
355,2245,2
118,1588,1
21,1991,2
208,2961,2
516,456,1
432,1679,1
183,161,1
572,408,1
174,4957,1
28,6159,2
33,62,2
15,3561,1
125,2451,2
578,2373,1
182,3061,1
516,457,2
244,77,2
19,5999,2
520,1064,1
22,239,1
176,286,1
208,2826,1
460,1101,1
167,45,1
188,240,1
334,317,2
470,4977,2
34,819,2
280,1806,1
181,401,1
118,1769,2
578,2549,2
580,555,1
914,82,2
20,8192,1
441,2794,2
164,47,1
385,2847,1
575,634,2
43,1643,1
36,1597,1
181,252,2
509,166,2
11,2866,2
93,2650,1
482,1669,1
223,73,2
30,5471,2
385,3130,2
907,3707,1
31,584,1
295,1747,2
36,1767,2
